{'epoch_num': 15}
{'val_loss': 4.645725532940456, 'train_loss': 3.2336509780895137, 'bleu_score': 11.281875423719455}
{'val_loss': 4.3180764323189145, 'train_loss': 2.405199182381026, 'bleu_score': 13.313576671436756}
{'val_loss': 4.084593118940081, 'train_loss': 2.142403567425911, 'bleu_score': 12.413857015972445}
{'val_loss': 3.9672004915419077, 'train_loss': 1.9755107543781922, 'bleu_score': 14.309176081366397}
{'val_loss': 3.810271226224445, 'train_loss': 1.843091267904024, 'bleu_score': 17.049600414079862}
{'val_loss': 3.752957494485946, 'train_loss': 1.729766045419465, 'bleu_score': 18.717730186468245}
{'val_loss': 3.57743984858195, 'train_loss': 1.6291794892509093, 'bleu_score': 19.264864789703893}
{'val_loss': 3.4951879308337257, 'train_loss': 1.5419372523703225, 'bleu_score': 19.37272434151981}
{'val_loss': 3.4143939279374624, 'train_loss': 1.4642960752212597, 'bleu_score': 18.095111038677665}
{'val_loss': 3.376425309975942, 'train_loss': 1.3961480902036976, 'bleu_score': 19.862582568719418}
{'val_loss': 3.320280679634639, 'train_loss': 1.336736359105516, 'bleu_score': 17.8200199398306}
{'val_loss': 3.296370370047433, 'train_loss': 1.2839067467332665, 'bleu_score': 21.234956900180347}
{'val_loss': 3.257162814480918, 'train_loss': 1.2361407860413256, 'bleu_score': 21.067114916722566}
{'val_loss': 3.2265504445348467, 'train_loss': 1.1938462259158147, 'bleu_score': 21.786149981346618}
{'val_loss': 3.2071023713974727, 'train_loss': 1.153939488351097, 'bleu_score': 21.41007293142588}
